ID,segment
test-1,0.0
test-10,1.0
test-100,1.0
test-1000,1.0
test-10000,1.0
test-100000,1.0
test-10001,0.0
test-10002,1.0
test-10003,0.0
test-10004,0.0
test-10005,1.0
test-10006,1.0
test-10007,1.0
test-10008,1.0
test-10009,1.0
test-1001,1.0
test-10010,1.0
test-10011,1.0
test-10012,0.0
test-10013,1.0
test-10014,1.0
test-10015,0.0
test-10016,0.0
test-10017,0.0
test-10018,0.0
test-10019,1.0
test-1002,0.0
test-10020,1.0
test-10021,0.0
test-10022,0.0
test-10023,0.0
test-10024,0.0
test-10025,1.0
test-10026,1.0
test-10027,0.0
test-10028,0.0
test-10029,1.0
test-1003,0.0
test-10030,1.0
test-10031,1.0
test-10032,1.0
test-10033,1.0
test-10034,0.0
test-10035,1.0
test-10036,1.0
test-10037,0.0
test-10038,0.0
test-10039,1.0
test-1004,0.0
test-10040,0.0
test-10041,1.0
test-10042,1.0
test-10043,1.0
test-10044,0.0
test-10045,0.0
test-10046,0.0
test-10047,0.0
test-10048,0.0
test-10049,1.0
test-1005,0.0
test-10050,0.0
test-10051,1.0
test-10052,0.0
test-10053,1.0
test-10054,1.0
test-10055,0.0
test-10056,0.0
test-10057,1.0
test-10058,0.0
test-10059,1.0
test-1006,0.0
test-10060,0.0
test-10061,0.0
test-10062,1.0
test-10063,0.0
test-10064,1.0
test-10065,1.0
test-10066,1.0
test-10067,1.0
test-10068,1.0
test-10069,0.0
test-1007,0.0
test-10070,1.0
test-10071,0.0
test-10072,1.0
test-10073,1.0
test-10074,0.0
test-10075,1.0
test-10076,0.0
test-10077,1.0
test-10078,1.0
test-10079,0.0
test-1008,0.0
test-10080,0.0
test-10081,0.0
test-10082,0.0
test-10083,1.0
test-10084,0.0
test-10085,1.0
test-10086,0.0
test-10087,1.0
test-10088,1.0
test-10089,1.0
test-1009,1.0
test-10090,0.0
test-10091,0.0
test-10092,1.0
test-10093,0.0
test-10094,1.0
test-10095,1.0
test-10096,0.0
test-10097,0.0
test-10098,1.0
test-10099,1.0
test-101,1.0
test-1010,0.0
test-10100,0.0
test-10101,1.0
test-10102,0.0
test-10103,0.0
test-10104,0.0
test-10105,1.0
test-10106,1.0
test-10107,1.0
test-10108,1.0
test-10109,0.0
test-1011,0.0
test-10110,1.0
test-10111,0.0
test-10112,1.0
test-10113,0.0
test-10114,1.0
test-10115,0.0
test-10116,0.0
test-10117,0.0
test-10118,1.0
test-10119,1.0
test-1012,0.0
test-10120,0.0
test-10121,0.0
test-10122,0.0
test-10123,1.0
test-10124,1.0
test-10125,0.0
test-10126,1.0
test-10127,0.0
test-10128,0.0
test-10129,1.0
test-1013,1.0
test-10130,0.0
test-10131,0.0
test-10132,1.0
test-10133,0.0
test-10134,1.0
test-10135,1.0
test-10136,0.0
test-10137,1.0
test-10138,1.0
test-10139,1.0
test-1014,1.0
test-10140,0.0
test-10141,1.0
test-10142,1.0
test-10143,1.0
test-10144,1.0
test-10145,0.0
test-10146,1.0
test-10147,0.0
test-10148,0.0
test-10149,1.0
test-1015,1.0
test-10150,0.0
test-10151,1.0
test-10152,1.0
test-10153,0.0
test-10154,1.0
test-10155,1.0
test-10156,1.0
test-10157,1.0
test-10158,0.0
test-10159,0.0
test-1016,1.0
test-10160,1.0
test-10161,1.0
test-10162,1.0
test-10163,0.0
test-10164,1.0
test-10165,1.0
test-10166,1.0
test-10167,0.0
test-10168,0.0
test-10169,1.0
test-1017,1.0
test-10170,0.0
test-10171,1.0
test-10172,0.0
test-10173,0.0
test-10174,1.0
test-10175,1.0
test-10176,0.0
test-10177,0.0
test-10178,0.0
test-10179,0.0
test-1018,1.0
test-10180,1.0
test-10181,0.0
test-10182,1.0
test-10183,0.0
test-10184,1.0
test-10185,0.0
test-10186,0.0
test-10187,1.0
test-10188,0.0
test-10189,0.0
test-1019,0.0
test-10190,1.0
test-10191,1.0
test-10192,1.0
test-10193,1.0
test-10194,0.0
test-10195,0.0
test-10196,1.0
test-10197,0.0
test-10198,1.0
test-10199,1.0
test-102,0.0
test-1020,0.0
test-10200,1.0
test-10201,1.0
test-10202,1.0
test-10203,0.0
test-10204,1.0
test-10205,0.0
test-10206,1.0
test-10207,1.0
test-10208,1.0
test-10209,0.0
test-1021,0.0
test-10210,0.0
test-10211,0.0
test-10212,0.0
test-10213,0.0
test-10214,0.0
test-10215,0.0
test-10216,0.0
test-10217,0.0
test-10218,1.0
test-10219,1.0
test-1022,1.0
test-10220,1.0
test-10221,0.0
test-10222,1.0
test-10223,0.0
test-10224,1.0
test-10225,0.0
test-10226,0.0
test-10227,1.0
test-10228,1.0
test-10229,1.0
test-1023,0.0
test-10230,1.0
test-10231,1.0
test-10232,1.0
test-10233,1.0
test-10234,0.0
test-10235,1.0
test-10236,0.0
test-10237,1.0
test-10238,0.0
test-10239,1.0
test-1024,1.0
test-10240,0.0
test-10241,1.0
test-10242,1.0
test-10243,1.0
test-10244,1.0
test-10245,0.0
test-10246,0.0
test-10247,1.0
test-10248,1.0
test-10249,1.0
test-1025,0.0
test-10250,0.0
test-10251,1.0
test-10252,1.0
test-10253,0.0
test-10254,1.0
test-10255,1.0
test-10256,0.0
test-10257,0.0
test-10258,0.0
test-10259,0.0
test-1026,0.0
test-10260,0.0
test-10261,1.0
test-10262,1.0
test-10263,1.0
test-10264,1.0
test-10265,0.0
test-10266,0.0
test-10267,0.0
test-10268,0.0
test-10269,1.0
test-1027,1.0
test-10270,1.0
test-10271,0.0
test-10272,0.0
test-10273,0.0
test-10274,1.0
test-10275,1.0
test-10276,0.0
test-10277,0.0
test-10278,1.0
test-10279,0.0
test-1028,1.0
test-10280,0.0
test-10281,0.0
test-10282,1.0
test-10283,0.0
test-10284,1.0
test-10285,0.0
test-10286,1.0
test-10287,0.0
test-10288,1.0
test-10289,0.0
test-1029,0.0
test-10290,1.0
test-10291,0.0
test-10292,0.0
test-10293,1.0
test-10294,0.0
test-10295,1.0
test-10296,0.0
test-10297,0.0
test-10298,1.0
test-10299,1.0
test-103,0.0
test-1030,0.0
test-10300,1.0
test-10301,1.0
test-10302,1.0
test-10303,1.0
test-10304,1.0
test-10305,0.0
test-10306,0.0
test-10307,0.0
test-10308,1.0
test-10309,0.0
test-1031,0.0
test-10310,1.0
